BuildingId,Id,FloorName,GIA,tableDate
57,222,MBB,361.7999878,30/09/2014
40,140,LSG,1306.349976,28/02/2015
7,28,CW1,990.2999878,31/07/2013
76,307,JR6,0,30/04/2014
80,314,FSD1,283.7099915,31/05/2015
9,9,SB8,873,31/10/2017
19,72,R1,1472.339966,31/05/2016
9,8,SB3,3045.26001,30/04/2018
69,286,RH B,31.06999969,30/09/2015
19,73,R2,1337.780029,31/08/2014
40,141,LS1,1265.869995,31/10/2015
57,222,MBB,375.1000061,31/08/2012
20,98,QSBG,1056.650024,29/02/2016
86,338,JPR1,0,31/03/2017
76,281,JR1,0,31/08/2014
40,141,LS1,1265.869995,31/01/2014
7,30,CW3,890.7600098,28/02/2014
67,250,CAB 2,1686.579956,31/05/2018
75,277,qsg,827.1300049,31/03/2016
9,13,CS12,398,30/04/2013
84,324,OA5,0,31/05/2016
69,257,RH G,329.7999878,31/08/2014
84,336,OA2,0,31/05/2017
57,220,MB2,578.7000122,31/03/2013
31,76,T2,1709.52002,30/09/2014
31,77,T3,1037.160034,31/12/2017
9,25,SB1,1597,31/03/2018
67,249,CAB 1,1502.949951,31/12/2017
85,328,JPG,3041.47998,31/05/2018
9,10,CS9,811,29/02/2016
7,203,CWB,692.9799805,31/01/2017
31,289,T2 MEZZ,57.75,31/03/2015
54,216,SUG,968.7999878,31/07/2012
31,75,T1,1567.599976,31/07/2016
31,318,T1 MEZZ,24.75,31/10/2017
9,10,SB9,811,28/02/2017
76,282,JR2,38.27000046,31/05/2016
19,73,R2,1337.780029,31/10/2014
52,208,JMG,353.1799927,30/11/2014
84,323,OA4,0,28/02/2017
24,198,PLT2,17.39999962,30/04/2012
19,73,R2,1352.880005,31/12/2016
24,103,PLG,585.2999878,30/11/2017
31,79,T5,1846.180054,31/05/2015
40,141,LS1,1265.869995,30/04/2017
52,210,JM2,353.8500061,31/12/2017
20,285,EBB,40.27000046,30/09/2014
24,198,PLT2,17.39999962,28/02/2014
6,124,CE4,865.5,30/06/2012
76,282,JR2,0,31/10/2014
78,300,SC6,238.2200012,31/01/2015
37,117,HW2,1177.880005,30/04/2015
67,249,CAB 1,1521,30/06/2013
20,98,ebG,1013.640015,30/09/2013
37,115,HWG,1384.040039,31/05/2018
9,11,SB10,811,30/11/2016
18,334,RW1,80.98000336,30/06/2016
70,265,CSL G,215.25,31/12/2016
57,221,PSG,624.1199951,30/09/2017
33,54,W2,2116.860107,30/04/2015
80,313,FDG,463.1499939,31/08/2017
18,119,CO,890,30/11/2017
28,110,SHB,131.1999969,31/12/2012
19,74,R3,350,30/09/2013
20,290,EBG MEZ,0,31/01/2014
6,83,CE3,866.4699707,31/01/2016
20,285,QSBB,40.27000046,31/05/2018
9,25,CS1,1597,28/02/2014
71,263,HHRB 2,252.0399933,31/08/2012
71,263,EK2,243,30/04/2016
72,301,BS4,184.8999939,30/09/2015
86,340,JPR3,0,31/12/2017
9,33,CS4,2861,31/10/2012
81,317,BH1,295.9200134,31/07/2015
54,217,SU1,965.9000244,31/03/2013
18,119,RW,890,31/03/2016
7,28,CW1,974.4299927,31/01/2015
69,258,RH 1,375.6700134,31/07/2015
85,329,JP1,2984.649902,31/07/2017
76,281,JR1,205.1999969,28/02/2017
7,27,CWG,2414.199951,31/10/2013
19,72,R1,1337.780029,31/03/2014
52,209,JM1,274,31/03/2015
52,209,JM1,282,31/10/2013
20,99,QSB1,169.6000061,30/06/2015
24,198,PLT2,17.39999962,30/06/2014
75,278,qs1,829.4299927,31/01/2016
9,15,CS14,263.9299927,31/05/2014
37,116,HW1,1188.910034,31/12/2014
79,303,PHG,67.20999908,31/10/2014
7,28,CW1,990.2999878,31/07/2012
78,297,SC3,3104.310059,31/01/2015
2,4,BIC1,1252.459961,31/12/2017
9,33,CS4,2861,30/06/2014
9,10,CS9,811,28/02/2014
9,10,CS9,811,31/05/2013
9,25,CS1,1597,30/11/2014
37,293,HW4,200.5,31/12/2015
9,13,CS12,393.8800049,31/03/2014
71,264,HHRB 3,253.8099976,31/03/2013
76,281,JR1,205.1999969,31/01/2018
33,52,WG,1672.599976,30/11/2013
6,82,CE2,851.2999878,30/09/2012
76,280,JR12,53.38000107,31/10/2015
9,25,CS1,1597,31/08/2013
31,78,T4,1483.619995,28/02/2018
57,219,MB1,683.2000122,31/10/2012
52,208,JMG,366.7000122,30/04/2012
57,220,MB2,578.7000122,31/12/2012
7,27,CWG,2404.72998,30/09/2015
9,207,CS15 ROOF PLANT,267,31/05/2013
67,248,CAB G,1417.77002,31/10/2015
37,118,HW3,1137.369995,31/01/2017
9,34,SB5,2506,28/02/2018
79,303,PHG,67.20999908,31/01/2015
67,248,CAB G,1417.800049,31/07/2012
28,202,SHU,145.8999939,30/06/2013
84,327,OA5.5,0,31/08/2016
9,10,SB9,811,31/05/2018
71,263,EK2,243,31/10/2017
79,302,PHB,26.90999985,30/06/2017
57,222,MBB,361.7999878,30/04/2015
75,276,qsB,693.0599976,30/11/2016
57,219,PS1,696.0700073,30/04/2018
72,269,BS3,1457.400024,31/05/2017
69,257,RH G,329.7999878,31/03/2014
56,225,UCB1,1815.300049,31/07/2012
2,4,BIC1,1257.069946,28/02/2013
69,257,RH G,329.7999878,31/07/2014
57,223,MB3,284.0599976,31/08/2013
32,47,XG,1437.400024,31/01/2014
32,50,X3,1268.829956,31/05/2016
76,308,JR7,56.81000137,31/05/2016
40,140,LSG,1313.609985,31/08/2016
40,142,LS2,1261.209961,31/01/2016
79,302,PHB,26.90999985,31/05/2018
32,47,XG,1437.400024,30/04/2013
6,205,CE4PLANT,77.30000305,30/11/2013
7,28,CW1,974.4299927,30/11/2013
32,48,X1,1263,30/04/2014
7,32,CW5,896.7999878,30/06/2013
76,308,JR7,56.81000137,31/12/2015
76,280,JR12,0,30/09/2012
78,295,SC1.5,308.8599854,31/08/2014
84,326,OA7,0,31/08/2016
6,81,CE1,818.0999756,31/01/2013
9,25,SB1,1597,28/02/2018
76,283,JR5,37.86999893,31/01/2016
9,10,SB9,811,30/06/2017
6,124,CE4,870.6500244,28/02/2015
76,281,JR1,0,30/06/2013
69,258,RH 1,375.6700134,31/05/2013
76,280,JR12,53.38000107,30/04/2016
6,82,CE2,851.2999878,31/07/2012
52,211,JM3,353.6499939,30/11/2017
18,119,RW,890,31/12/2016
37,117,HW2,1162.410034,31/07/2017
31,318,T1 MEZZ,24.75,28/02/2018
78,295,SC1.5,308.8599854,31/03/2015
19,73,R2,1337.780029,31/01/2014
7,29,CW2,981.1699829,30/11/2015
69,258,HHRA 1,375.6600037,31/05/2012
84,325,OA6,1177.23999,31/10/2017
9,34,CS5,2506,31/10/2012
7,203,CWB,619,31/08/2012
9,14,SB13,393.8800049,31/03/2018
69,286,RH B,31.06999969,31/05/2013
72,267,BS1,2129,31/07/2017
7,29,SJ2,981.1699829,30/04/2018
37,115,HWG,1359.410034,31/08/2015
31,76,T2,1537.569946,31/05/2016
69,257,RH G,329.7999878,30/11/2016
79,304,PH1,57.38000107,30/09/2014
19,70,RB,1142.199951,31/01/2012
9,9,CS8,873,29/02/2016
9,14,SB13,393.8800049,30/04/2017
19,71,RG,2028.5,30/06/2016
37,118,HW3,1137.369995,31/08/2017
85,328,JPG,3041.47998,28/02/2017
75,277,qsg,827.1300049,31/12/2017
37,117,HW2,1162.410034,31/10/2015
24,197,PLT1,17.39999962,31/07/2016
6,83,CE3,861.5,30/04/2013
31,76,T2,1537.569946,31/07/2016
71,264,HHRB 3,242.9100037,30/06/2014
69,258,RH 1,375.6700134,31/07/2017
56,225,UCB1,1815.300049,31/01/2012
67,249,CAB 1,1521,30/11/2013
9,10,CS9,811,31/08/2013
75,276,qsB,693.0599976,31/05/2017
79,304,PH1,57.38000107,31/05/2016
9,36,CS7,1437,30/09/2013
56,225,UCB1,1815.300049,30/11/2012
9,35,SB6,2078,30/04/2018
32,50,X3,1263,28/02/2014
69,257,RH G,329.7999878,31/10/2016
75,276,qsB,823.789978,31/05/2013
9,13,CS12,393.8800049,30/11/2014
37,117,HW2,1162.410034,31/03/2018
57,220,PS2,456.8699951,30/04/2018
75,279,qs2,517.1400146,31/07/2016
69,260,RH 1A,36.86000061,30/04/2013
7,203,CWB,619,30/04/2012
7,32,CW5,885.3699951,30/04/2017
32,50,X3,1263,31/12/2013
71,261,EKG,258.2200012,30/06/2017
52,209,JM1,270.8900146,31/05/2016
78,298,SC4,2816.820068,31/10/2016
76,308,JR7,56.81000137,31/01/2016
31,79,T5,1854,31/07/2012
6,81,CE1,818.0999756,31/08/2012
2,284,BIC2,1284.900024,30/06/2014
69,286,RH B,31.06999969,31/07/2015
24,128,PLB,32.29999924,31/12/2016
75,278,qs1,830.7999878,31/08/2015
20,99,QSB1,169.6000061,29/02/2016
28,202,SHU,145.8999939,31/03/2014
19,74,R3,344.980011,31/12/2017
79,303,PHG,67.20999908,31/07/2016
37,117,HW2,1189.900024,31/10/2012
76,283,JR5,37.86999893,31/12/2015
78,295,SC1.5,308.9899902,28/02/2017
57,220,MB2,444.9100037,28/02/2014
79,302,PHB,26.90999985,31/05/2015
76,283,JRG,204.9700012,28/02/2017
9,26,CS2,3350,31/12/2013
52,211,JM3,354.1099854,31/10/2014
84,336,OA2,0,31/07/2016
78,300,SC6,238.4100037,30/11/2017
7,30,CW3,890.7000122,31/03/2017
6,83,CE3,866.4699707,30/06/2017
71,263,HHRB 2,243,31/12/2014
24,198,PLT2,17.39999962,31/08/2016
9,13,CS12,393.8800049,31/07/2014
80,314,FD1,283.7099915,31/10/2015
76,306,JR4,56.79999924,30/04/2016
57,223,MB3,259.2999878,31/10/2012
9,207,CS15 ROOF PLANT,267,30/06/2015
18,334,CO1,80.98000336,30/11/2017
9,13,CS12,398,28/02/2013
9,8,CS3,3045.26001,30/11/2015
40,141,LS1,1265.869995,30/06/2017
76,281,JR1,0,31/03/2014
19,74,R3,344.980011,30/04/2018
76,280,JR12,0,30/06/2014
52,210,JM2,354.1000061,30/04/2015
67,250,CAB 2,1686.579956,31/05/2017
6,80,CEG,975.7399902,31/05/2014
20,285,QSBB,40.27000046,30/06/2017
7,29,CW2,981.1699829,30/06/2017
